,id,color,color base shade,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock,transparent
190,191,pink,pink,0,brick,rectangle,1x2,1,True,45.0,1,0
191,192,green,green,0,plate,rectangle,1x4,0,False,0.0,1,0
192,193,purple,purple,0,plate,rectangle,1x2,2,False,0.0,1,0
193,194,brown,brown,0,brick,rectangle,1x2,2,True,45.0,1,0
194,195,skyblue,blue,0,brick,square,1x1,1,False,0.0,1,0
195,196,grey,grey,0,plate,circle,2x2,4,False,0.0,1,0
196,197,darkblue,blue,0,plate,triangle,1x4,4,False,0.0,1,0
197,198,transparentyellow,yellow,0,plate,rectangle,1x2,2,False,0.0,1,0
198,199,black,black,0,brick,circle,2x2,4,False,0.0,1,0
199,200,transparentorange,orange,0,plate,square,1x1,0,False,0.0,1,0
200,201,blck,black,0,plate,trapezoid,2x2,4,False,0.0,1,0
201,202,yellow,yellow,0,plate,rectangle,1x2,0,False,0.0,1,0
202,203,transparentskyblue,blue,0,plate,circle,1x1,0,False,0.0,1,0
203,204,transparentyellow,yellow,0,plate,circle,1x1,0,False,0.0,1,0
